,SBD,Toán,Lí,Hóa,Sinh,Văn,Ngoại ngữ,Sử,Địa,GDCD
314,50005316,3.6,,,,4.0,,5.0,5.0,
315,50005317,5.4,,,,7.0,4.8,7.25,8.0,9.75
316,50005318,5.4,,,,5.0,3.4,3.25,6.25,7.5
317,50005319,5.8,5.5,5.5,5.25,6.5,4.0,,,
318,50005320,6.6,6.5,5.5,4.5,6.0,3.0,,,
319,50005321,7.2,,,,5.75,3.4,6.25,5.5,9.0
320,50005322,5.6,,,,3.75,,5.5,6.5,
321,50005323,6.2,6.5,6.25,3.5,7.5,6.2,,,
322,50005324,5.8,6.25,5.25,3.75,5.0,4.0,,,
323,50005325,6.8,5.0,6.25,4.0,6.5,6.6,,,
324,50005326,5.6,,,,5.75,3.8,8.0,8.0,8.5
325,50005327,7.0,5.0,4.25,3.25,6.0,4.6,,,
326,50005328,5.0,,,,6.0,4.4,5.25,7.25,8.5
327,50005329,7.4,4.5,5.5,4.5,7.5,5.0,,,
328,50005330,8.0,5.75,8.5,6.0,6.5,5.6,,,
329,50005331,4.8,,,,4.75,4.8,5.75,6.75,8.0
330,50005332,5.0,3.75,4.75,4.5,5.0,,,,
331,50005333,6.0,7.75,7.75,5.25,6.67,4.0,,,
332,50005334,6.2,,,,6.25,4.8,5.5,5.75,6.5
333,50005335,4.4,,,,6.25,2.8,4.5,6.0,7.0
334,50005336,4.8,4.5,6.0,5.0,8.5,5.0,,,
335,50005337,6.4,,,,6.5,5.4,7.0,6.75,9.0
336,50005338,7.0,,,,5.75,4.6,6.5,7.5,8.5
337,50005339,5.2,4.75,4.25,3.0,6.0,4.6,,,
338,50005340,7.0,6.75,7.0,4.25,6.5,5.0,,,
339,50005341,7.0,,,,7.0,6.2,8.5,6.75,9.0
340,50005342,4.2,,,,7.5,3.6,7.5,6.75,7.75
341,50005343,7.6,6.25,7.0,5.5,8.0,7.2,,,
342,50005344,7.8,6.25,7.5,4.5,7.25,6.8,,,
343,50005345,7.0,5.75,6.75,4.25,7.0,4.8,,,
344,50005346,5.0,5.75,5.0,2.75,8.0,6.6,,,
345,50005347,5.6,,,,7.0,4.4,5.0,5.0,8.75
346,50005348,6.0,,,,6.75,3.6,6.5,7.0,9.0
347,50005349,7.2,,,,7.25,7.0,6.0,7.25,8.0
348,50005350,6.6,5.5,5.25,4.25,7.0,5.2,,,
349,50005351,7.0,,,,7.5,6.4,8.25,7.0,8.75
350,50005352,6.4,5.0,7.25,2.75,6.5,4.0,,,
351,50005353,6.2,,,,6.25,6.6,6.25,6.5,9.0
352,50005354,5.4,,,,5.0,,5.25,6.25,
353,50005355,5.2,,,,5.0,3.8,6.75,6.0,8.75
354,50005356,6.4,6.75,7.5,5.25,5.75,6.4,,,
355,50005357,3.8,,,,6.5,,6.75,6.5,
356,50005358,6.2,,,,3.75,,6.25,5.5,
357,50005359,8.0,6.75,5.25,4.0,6.58,4.6,,,
358,50005360,8.0,6.0,6.0,5.0,6.75,7.4,,,
359,50005361,4.6,5.5,6.0,3.75,5.0,4.8,,,
360,50005362,4.6,,,,8.5,3.8,6.25,7.75,8.25
361,50005363,6.6,,,,6.75,,4.5,5.0,
362,50005364,6.2,5.25,4.0,2.75,6.25,3.0,,,
363,50005365,6.0,,,,6.5,4.8,7.5,7.5,7.5
364,50005366,4.0,,,,5.25,3.6,5.25,5.75,8.0
365,50005367,3.8,,,,5.25,2.8,5.0,5.75,8.25
366,50005368,4.0,,,,5.75,4.8,6.5,7.5,8.0
367,50005369,7.0,4.75,5.75,2.25,5.0,3.4,,,
368,50005370,5.6,5.5,6.25,4.0,6.0,6.0,,,
369,50005371,6.4,6.5,6.5,4.25,6.75,4.4,,,
370,50005372,5.6,3.75,4.25,3.25,6.25,4.8,,,
371,50005373,7.2,6.5,6.75,4.0,7.0,6.0,,,
372,50005374,2.0,,,,5.0,3.8,4.5,6.25,7.25
373,50005375,5.6,5.5,5.25,4.75,7.5,3.6,,,
374,50005376,7.2,5.75,5.75,3.5,5.5,4.0,,,
375,50005377,5.8,,,,6.0,,8.25,7.0,
376,50005378,5.0,,,,6.0,4.2,4.75,6.75,8.5
377,50005379,6.0,,,,6.5,5.2,6.5,7.25,8.5
378,50005380,5.6,,,,6.5,3.6,4.25,6.5,8.0
379,50005381,5.4,4.25,6.25,3.25,6.0,3.4,,,
380,50005382,5.4,,,,5.75,4.4,6.25,6.5,7.25
381,50005383,6.8,,,,7.0,4.6,6.0,6.75,9.25
382,50005384,6.2,6.0,6.25,3.5,7.0,3.8,,,
383,50005385,6.2,4.5,5.75,2.25,6.5,5.6,,,
384,50005386,7.0,6.0,7.75,3.5,6.5,5.0,,,
385,50005387,6.0,5.5,5.0,3.75,4.0,3.6,,,
386,50005388,5.4,5.25,4.0,3.25,6.75,4.0,,,
387,50005389,2.0,,,,4.75,,5.0,5.0,
388,50005390,5.8,6.0,4.5,4.25,7.0,5.4,,,
389,50005391,7.0,,,,6.75,6.0,6.25,5.75,8.25
390,50005392,3.6,,,,5.75,,5.0,5.5,
391,50005393,6.4,,,,4.0,,5.75,6.0,
392,50005394,7.4,6.5,7.5,3.75,6.5,3.6,,,
393,50005395,7.8,7.25,8.25,3.0,6.25,5.2,,,
394,50005396,7.0,6.25,6.25,5.0,6.0,5.2,,,
395,50005397,6.2,,,,5.08,3.4,8.0,6.75,8.5
396,50005398,4.6,,,,4.58,,4.75,7.25,
397,50005399,6.8,5.5,5.5,5.25,6.5,9.0,,,
398,50005400,6.4,5.5,6.25,4.25,6.5,6.6,,,
