,SBD,Toán,Văn,Sử,Địa,Ngoại ngữ,GDCD,Lí,Hóa,Sinh
282,50000283,5.0,5.75,7.25,6.75,3.8,8.5,,,
283,50000284,7.0,7.0,7.75,6.25,4.2,8.5,,,
284,50000285,8.2,7.75,,,6.0,,5.5,8.25,8.5
285,50000286,5.6,4.5,6.5,5.5,2.8,7.25,,,
286,50000287,7.0,6.75,,,5.4,,4.75,5.75,5.0
287,50000288,5.2,7.75,7.25,7.75,4.0,8.25,,,
288,50000289,6.8,6.75,,,6.2,,4.0,4.0,3.0
289,50000290,7.0,6.5,,,3.4,,8.25,7.75,6.0
290,50000291,6.4,5.25,,,3.6,,3.75,4.0,4.0
291,50000292,7.2,5.0,,,3.6,,6.0,5.25,3.5
292,50000293,6.8,8.0,8.5,6.25,4.6,8.25,,,
293,50000294,7.0,7.5,,,6.2,,5.75,5.5,4.0
294,50000295,7.6,8.75,9.0,7.25,5.4,9.0,,,
295,50000296,6.0,7.0,8.0,7.5,5.4,9.0,,,
296,50000297,7.2,7.25,7.5,6.0,7.4,8.25,,,
297,50000298,4.8,8.0,4.5,6.0,3.4,6.75,,,
298,50000299,8.0,6.3,,,5.0,,5.0,8.0,5.75
299,50000300,7.0,8.5,,,7.2,,6.75,6.5,4.75
300,50000301,7.6,8.0,,,4.8,,5.75,6.0,4.25
301,50000302,7.0,7.5,7.0,7.0,6.0,9.0,,,
302,50000303,7.4,8.5,8.75,9.0,7.2,9.25,,,
303,50000304,8.2,8.0,,,7.0,,8.0,5.25,4.75
304,50000305,7.2,6.75,,,6.6,,5.75,6.25,6.5
305,50000306,7.4,7.0,,,3.2,,6.0,5.75,5.75
306,50000307,7.4,6.75,5.0,7.75,4.0,9.0,,,
307,50000308,5.8,6.0,5.25,5.0,2.4,6.5,,,
308,50000309,5.0,7.25,6.75,6.0,3.8,8.5,,,
309,50000310,7.0,4.5,5.75,5.75,5.0,7.5,,,
310,50000311,7.0,5.25,6.75,6.5,4.2,9.25,,,
311,50000312,8.0,7.5,,,5.8,,7.0,8.25,4.75
312,50000313,6.0,8.0,8.5,7.25,4.6,9.25,,,
313,50000314,3.0,5.75,5.5,5.75,3.4,8.0,,,
314,50000315,7.2,7.5,,,4.2,,6.0,7.0,4.25
315,50000316,6.0,5.5,5.5,7.0,3.0,8.0,,,
316,50000317,6.4,6.0,7.0,6.75,4.6,7.5,,,
317,50000318,6.8,5.75,8.5,7.5,5.0,8.75,,,
318,50000319,3.6,5.5,6.0,4.75,2.4,6.5,,,
319,50000320,6.8,5.75,4.5,6.25,3.4,9.25,,,
320,50000321,8.0,7.75,,,7.0,,7.75,7.25,6.5
321,50000322,6.8,6.0,6.5,7.0,4.4,9.5,,,
322,50000323,6.2,5.75,5.75,7.25,5.0,7.5,,,
323,50000324,8.6,6.25,,,7.6,,8.0,9.0,7.75
324,50000325,6.2,7.25,8.25,7.25,3.6,9.25,,,
325,50000326,7.2,7.0,6.75,7.25,3.8,7.25,,,
326,50000327,6.2,7.5,5.5,6.75,7.0,7.25,,,
327,50000328,6.0,7.0,8.25,7.75,6.0,9.0,,,
328,50000329,5.2,5.25,4.75,5.25,2.8,7.5,,,
329,50000330,8.0,6.25,,,7.2,,6.75,6.5,6.0
330,50000331,6.6,7.0,3.0,5.0,3.8,8.25,,,
331,50000332,3.8,5.5,5.75,5.75,4.4,6.0,,,
332,50000333,7.4,6.75,,,4.6,,6.5,6.75,3.25
333,50000334,5.6,6.0,8.75,7.5,4.4,8.75,,,
334,50000335,7.0,6.5,6.25,7.0,4.8,9.25,,,
335,50000336,5.4,5.83,6.0,7.5,3.4,9.0,,,
336,50000337,6.2,6.0,7.5,6.75,5.0,7.0,,,
337,50000338,4.2,6.75,7.75,7.0,4.4,8.0,,,
338,50000339,7.8,5.75,8.0,6.5,4.2,8.0,,,
339,50000340,6.8,5.25,6.5,7.75,3.0,8.5,,,
340,50000341,8.0,6.0,,,5.2,,6.25,6.5,6.0
341,50000342,7.4,6.75,6.25,6.0,4.6,7.75,,,
342,50000343,7.4,6.75,,,3.6,,6.75,3.75,5.25
343,50000344,7.6,6.75,,,4.8,,5.0,5.5,3.75
344,50000345,7.2,7.0,6.75,7.5,5.4,8.25,,,
345,50000346,8.0,7.25,,,8.6,,7.5,7.0,6.0
346,50000347,8.4,8.75,,,6.4,,6.25,5.75,5.0
347,50000348,7.6,8.0,,,7.8,,7.75,8.75,6.0
348,50000349,7.4,7.0,,,5.4,,7.0,4.0,3.75
349,50000350,5.6,7.25,,,5.6,,6.0,4.5,4.5
350,50000351,6.6,7.5,5.25,6.0,4.0,8.75,,,
351,50000352,6.0,7.0,,,4.8,,4.75,2.75,3.75
352,50000353,5.2,6.0,6.25,6.25,4.4,8.0,,,
