,SBD,Toán,Lí,Hóa,Sinh,Văn,Ngoại ngữ,Sử,Địa,GDCD
209,50015052,2.6,,,,5.25,4.8,6.25,6.0,8.0
210,50015053,6.0,,,,6.75,4.8,7.75,7.0,9.0
211,50015054,5.2,,,,6.5,4.0,7.25,7.0,8.75
212,50015055,7.0,,,,5.25,3.4,5.0,5.25,8.25
213,50015056,4.0,,,,4.5,1.8,3.75,5.25,6.25
214,50015057,6.4,,,,5.5,3.2,7.0,5.75,7.25
215,50015058,8.2,5.75,6.75,6.25,6.75,4.2,,,
216,50015059,5.6,,,,6.25,3.6,4.5,5.75,8.0
217,50015060,7.2,,,,6.75,4.6,5.0,5.25,8.25
218,50015061,2.2,,,,5.25,4.0,3.25,5.25,5.75
219,50015062,8.2,8.0,8.0,5.0,5.5,5.0,,,
220,50015063,6.4,4.75,6.0,3.75,5.08,5.4,,,
221,50015064,6.2,,,,6.25,4.6,5.5,6.25,6.75
222,50015065,3.2,,,,5.5,4.6,4.75,4.25,7.5
223,50015066,5.4,,,,5.5,4.6,5.25,6.5,7.75
224,50015067,6.4,,,,5.0,4.2,6.0,6.5,8.75
225,50015068,3.6,,,,5.75,3.0,5.25,5.75,8.0
226,50015069,4.6,,,,5.5,3.0,3.75,4.75,8.0
227,50015070,4.8,,,,5.5,3.0,6.5,6.25,8.25
228,50015071,6.2,,,,7.25,4.2,6.0,7.75,8.5
229,50015072,3.2,,,,4.5,4.0,5.25,4.25,7.75
230,50015073,7.0,,,,6.0,3.6,7.25,7.25,7.5
231,50015074,7.6,7.0,6.5,8.0,7.0,3.8,,,
232,50015075,4.2,,,,5.5,3.0,7.0,6.0,8.0
233,50015076,4.0,,,,5.75,3.2,6.25,6.0,8.0
234,50015077,3.6,,,,6.0,4.6,7.0,6.5,8.0
235,50015078,5.8,,,,5.0,3.4,4.75,5.0,7.25
236,50015079,3.2,,,,5.25,4.6,6.5,5.5,5.25
237,50015080,8.0,7.5,7.75,7.25,7.0,8.6,,,
238,50015081,3.8,,,,6.0,2.0,4.5,5.75,8.5
239,50015082,7.0,,,,8.25,4.6,7.5,7.25,9.75
240,50015083,7.4,,,,5.75,4.0,7.25,6.5,8.75
241,50015084,7.8,,,,6.0,6.8,7.75,6.25,7.25
242,50015085,7.2,6.5,7.25,6.0,7.75,5.2,,,
243,50015086,5.2,,,,6.75,5.0,7.0,7.5,9.5
244,50015087,7.8,6.25,7.0,9.0,6.5,7.0,,,
245,50015088,9.2,7.5,7.75,9.25,6.25,7.8,,,
246,50015089,7.0,,,,7.0,4.8,8.0,8.25,8.75
247,50015090,5.0,,,,6.25,3.4,7.25,6.5,8.75
248,50015091,7.0,,,,6.0,4.4,7.75,7.0,8.75
249,50015092,7.2,5.75,6.75,6.25,5.0,3.8,,,
250,50015093,8.2,7.75,7.75,6.5,8.0,6.2,,,
251,50015094,6.8,6.5,7.75,7.0,7.5,4.6,,,
252,50015095,7.0,,,,7.75,2.6,7.5,6.75,9.0
253,50015096,5.6,,,,7.5,3.6,6.25,6.5,7.75
254,50015097,7.2,5.75,8.25,4.75,7.0,6.2,,,
255,50015098,3.6,3.75,6.0,5.25,4.25,3.4,,,
256,50015099,8.2,6.25,8.5,8.25,5.75,5.4,,,
